PROVIDER_ID,Std_Outcomes_Mortality_score,lower_Outcomes_Mortality_score,upper_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,lower_Outcomes_Readmission_score,upper_Outcomes_Readmission_score,Std_Outcomes_Safety_score,lower_Outcomes_Safety_score,upper_Outcomes_Safety_score,Std_PatientExp_score,lower_PtExp_score,upper_PtExp_score,Std_Efficiency_score,lower_Efficiency_score,upper_Efficiency_score,Std_Process_Effect_score,lower_Process_Effect_score,upper_Process_Effect_score,Std_Process_Time_score,lower_Process_Time_score,upper_Process_Time_score,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Efficiency,weight_Process_time,weight_Process_Effect,summary_score,Lower_summary_score,Upper_summary_score,Summary_score_win,star,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Efficiency_cnt,Process_Timeliness_cnt,Process_Effectiveness_cnt,Total_measure_group_cnt,Outcomes_Measure_Group_cnt,report_indicator,Out_Mrt_Grp_Score_Cat,Out_Readm_grp_Score_Cat,Out_Sft_Grp_Score_Cat,Pt_Exp_Grp_Score_Cat,Eff_Imaging_Grp_Score_Cat,Prc_Effect_of_Care_Grp_Score_Cat,Prc_Time_of_Care_Grp_Score_Cat
461301,,,,0.078712619,-1.621835502,1.779260741,,,,,,,0.374192601,-1.187598477,1.935983679,-0.376530565,-2.05288805,1.29982692,0.762160622,-0.238274838,1.762596082,,0.647058824,,,0.117647059,0.117647059,0.117647059,0.140322596,-0.998380032,1.279025223,0.140322596,3,0,0,1,0,1,5,4,2,0,0,missing,Same as the national avera,missing,missing,Same as the national avera,Same as the national avera,Same as the national avera
461302,0.115981024,-1.764854357,1.996816405,-0.005422675,-1.299826011,1.28898066,,,,,,,0.592796328,-0.81387845,1.999471106,-1.459851917,-3.227760198,0.308056364,0.342767794,-1.180965454,1.866501042,,0.392857143,0.392857143,,0.071428571,0.071428571,0.071428571,0.005984509,-0.91163715,0.923606168,0.005984509,3,1,0,3,0,1,4,4,3,1,1,Same as the national avera,Same as the national avera,missing,missing,Same as the national avera,Same as the national avera,Same as the national avera
461303,-0.078236988,-1.954909779,1.798435803,-0.022071246,-1.441936088,1.397793596,,,,1.481420317,0.721012654,2.24182798,0.315818324,-1.065386032,1.697022681,0.38688064,-0.999390699,1.773151979,0.677233231,-0.013332908,1.36779937,0.282051282,0.282051282,0.282051282,,0.051282051,0.051282051,0.051282051,0.460310187,-0.24512161,1.165741985,0.460310187,4,1,0,2,11,2,6,7,3,0,0,Same as the national avera,Same as the national avera,missing,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera
461304,0.389621175,-1.241056104,2.020298453,-0.910141777,-1.931612069,0.111328515,-0.070008265,-2.025328509,1.885311978,1.695198612,1.275831309,2.114565916,0.438118808,-0.902058872,1.778296489,-0.250756348,-1.921000638,1.419487942,0.254971622,-1.213681263,1.723624508,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.260720707,-0.358438221,0.879879635,0.260720707,4,2,1,4,11,2,4,4,4,1,1,Same as the national avera,Same as the national avera,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera
461306,0.347053009,-1.316689716,2.010795734,0.587420198,-0.514875781,1.689716177,,,,1.382804816,0.685522993,2.08008664,0.492706348,-0.799030173,1.784442868,-0.467775901,-2.28718162,1.351629819,-0.09834209,-2.01402392,1.81733974,0.282051282,0.282051282,0.282051282,,0.051282051,0.051282051,0.051282051,0.649826538,0.034926324,1.264726751,0.649826538,4,2,0,4,11,2,2,1,2,1,0,Same as the national avera,Same as the national avera,missing,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera
461307,-0.010407654,-1.895389266,1.874573959,-0.040709583,-1.602750223,1.521331057,,,,1.027135279,0.364371024,1.689899534,0.322650909,-1.116162263,1.761464082,0.00456191,-1.369494848,1.378618669,0.921274011,0.289723045,1.552824978,0.282051282,0.282051282,0.282051282,,0.051282051,0.051282051,0.051282051,0.339312106,-0.383815229,1.062439441,0.339312106,4,1,0,2,11,1,6,7,3,0,0,Same as the national avera,Same as the national avera,missing,Above the national average,Same as the national avera,Same as the national avera,Above the national average
461308,0.052643015,-1.817855105,1.923141136,-0.486110749,-1.865276847,0.893055348,0.005967524,-1.951128966,1.963064015,,,,,,,0.004544997,-1.952708147,1.96179814,0.411281527,-1.118028671,1.940591724,,0.297297297,0.297297297,0.297297297,,0.054054054,0.054054054,-0.104617548,-1.017584164,0.808349069,-0.104617548,3,1,1,3,0,0,2,1,1,1,0,Same as the national avera,Same as the national avera,Same as the national avera,missing,missing,Same as the national avera,Same as the national avera
461309,-0.087151292,-1.910405517,1.736102934,0.049321538,-1.473946904,1.572589979,,,,,,,0.442343198,-1.123714681,2.008401076,,,,1.176869312,-0.039721148,2.393459772,,0.423076923,0.423076923,,0.076923077,0.076923077,,0.108549912,-0.907868519,1.124968344,0.108549912,3,1,0,2,0,1,2,0,0,0,0,Same as the national avera,Same as the national avera,missing,missing,Same as the national avera,missing,Same as the national avera
461310,0.015436085,-1.842900137,1.873772307,0.027872205,-1.478730493,1.534474902,,,,,,,,,,,,,-0.138878175,-2.059420374,1.781664025,,0.458333333,0.458333333,,,0.083333333,,0.008276452,-1.099553375,1.116106278,0.008276452,3,1,0,2,0,0,2,0,0,0,0,Same as the national avera,Same as the national avera,missing,missing,missing,missing,Same as the national avera
470001,0.279901469,-0.703319471,1.263122409,1.167883919,0.658548832,1.677219006,0.70210243,0.111652879,1.29255198,-0.070934082,-0.396388396,0.254520231,0.558364768,-0.235559136,1.352288671,0.887034616,-0.072650062,1.846719294,-0.671703843,-1.074384232,-0.269023455,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.488317643,0.198411719,0.778223568,0.488317643,4,5,4,7,11,4,6,9,7,3,1,Same as the national avera,Above the national average,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera,Below the national average
470003,-1.287147065,-1.978675025,-0.595619106,0.409987053,0.136636924,0.683337183,0.200579837,-0.083055344,0.484215018,0.152057819,-0.00104531,0.305160949,0.828225378,0.355310642,1.301140114,-0.829082026,-1.788420935,0.130256883,-0.776678166,-1.184500519,-0.368855813,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.146496311,-0.330533661,0.03754104,-0.146496311,3,7,8,8,11,5,5,10,7,3,1,Below the national average,Above the national average,Same as the national avera,Above the national average,Above the national average,Same as the national avera,Below the national average
470005,-0.310033462,-1.236993083,0.616926159,0.913308103,0.473642084,1.352974123,-0.256419909,-0.73081026,0.217970442,0.568063175,0.279465837,0.856660514,0.580582236,-0.132411536,1.293576009,0.477621975,-0.487633354,1.442877303,-0.520684817,-0.86875739,-0.172612244,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.222782715,-0.038619825,0.484185256,0.222782715,4,6,7,7,11,5,6,9,7,3,1,Same as the national avera,Above the national average,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,Below the national average
470011,-0.305573115,-1.660704816,1.049558586,1.232864388,0.441446659,2.024282118,0.646883656,-0.20053753,1.494304841,0.102640716,-0.397495369,0.602776802,0.649590036,-0.29220605,1.591386123,0.587216734,-0.614104516,1.788537983,-0.374578374,-0.923205278,0.17404853,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.403388578,-0.009145921,0.815923077,0.403388578,4,5,3,6,11,3,6,7,7,3,1,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera
470012,0.993417776,0.077371887,1.909463665,0.970337085,0.47321434,1.46745983,0.712951255,0.143098942,1.282803569,0.583116033,0.170097067,0.996134999,0.298470234,-0.461745487,1.058685956,0.611864009,-0.397452927,1.621180945,-0.230344825,-0.667631427,0.206941777,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.74436045,0.462633761,1.026087138,0.74436045,4,5,6,7,11,5,6,9,7,3,1,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera
